GAME_ID,TEAM_ID,DIST,HOMEAWAY,TEAM_HOME,OPPONENT,WL,PTS,MIN,MATCHUP,ALTITUDE_HOME,ALTITUDE_AWAY,HIGHALT,ALTDIF,DISTperMIN
0022201025,1610612756,17.64,AWAY,PHX,GSW,L,112,240,PHX @ GSW,1086,13,False,1073,0.0735
0022201026,1610612749,17.85,AWAY,MIL,SAC,W,133,239,MIL @ SAC,617,25,False,592,0.07468619246861925
0022201027,1610612739,17.9,AWAY,CLE,CHA,W,120,241,CLE @ CHA,580,751,False,-171,0.07427385892116183
0022201028,1610612765,17.91,AWAY,DET,WAS,L,97,239,DET @ WAS,595,82,False,513,0.07493723849372386
0022201029,1610612743,17.13,AWAY,DEN,TOR,L,110,239,DEN @ TOR,5280,251,False,5029,0.07167364016736401
0022201030,1610612747,17.43,AWAY,LAL,NOP,W,123,242,LAL @ NOP,233,0,False,233,0.07202479338842975
0022201031,1610612751,18.24,AWAY,BKN,OKC,L,107,240,BKN @ OKC,26,1201,False,-1175,0.076
0022201032,1610612753,18.3,AWAY,ORL,SAS,L,114,240,ORL @ SAS,82,650,False,-568,0.07625
0022201033,1610612749,17.5,AWAY,MIL,PHX,W,116,241,MIL @ PHX,617,1086,False,-469,0.07261410788381743
0022201034,1610612752,17.86,AWAY,NYK,POR,W,123,240,NYK @ POR,26,50,False,-24,0.07441666666666666
0022201035,1610612755,16.46,AWAY,PHI,CLE,W,118,240,PHI @ CLE,39,580,False,-541,0.06858333333333334
0022201036,1610612763,18.39,AWAY,MEM,MIA,L,119,241,MEM @ MIA,337,6,False,331,0.07630705394190872
0022201037,1610612758,18.4,AWAY,SAC,CHI,W,117,242,SAC @ CHI,25,594,False,-569,0.07603305785123966
0022201038,1610612747,17.2,AWAY,LAL,HOU,L,110,239,LAL @ HOU,233,43,False,190,0.07196652719665271
0022201039,1610612738,16.57,AWAY,BOS,MIN,W,104,240,BOS @ MIN,20,830,False,-810,0.06904166666666667
0022201040,1610612742,20.11,AWAY,DAL,SAS,W,137,265,DAL @ SAS,430,650,False,-220,0.07588679245283018
0022201041,1610612744,17.66,AWAY,GSW,LAC,L,126,240,GSW @ LAC,13,233,False,-220,0.07358333333333333
